༄༅ དཀོན་ མཆོག་ གསུམ་ ལ་ ཕྱག་ འཚལ་ ལོ 83
བ་ དང་ །_ འབྲས་ བུ་ ཆེ་ བ་ དང་ 43
བ་ དང་ །_ ཕྱིར་ མི་ འོང་ བ་ དང་ 142
བ་ དང་ །_ བདེ་ བ་ ཅན་ བསམ་ གཏན་ 43
བ་ དང་ །_ མ་ ཞི་ ཞེས་ བྱ་ བར་ 190
བ་ དང་ །_ དགྲ་ བཅོམ་ པ་ དང་ །_ 75
བ་ དང་ །_ བཅོམ་ ལྡན་ འདས་ ག་ ལ་ 103
བ་ དང་ །_ སྐྱེ་ བོ་ ཕལ་ པོ་ ཆེ་ 41
བ་ དང་ །_ ཤེས་ རབ་ ཀྱི་ ཕ་ རོལ་ 45
བ་ དང་ །_ ཞི་ བ་ དང་ བདེ་ ལེགས་ 58
བ་ དང་ །_ ཞི་ ཞེས་ བྱ་ བ་ དང་ 144
བ་ དང་ །_ ཇི་ ལྟར་ ནན་ ཏན་ དུ་ 89
བ་ དང་ །_ རྒ་ བ་ དང་ །_ ན་ 279
བ་ དང་ །_ འཆི་ བ་ དང་ །_ མྱ་ 227
བ་ དང་ །_ མངོན་ པར་ འདུ་ བྱ་ བ་ 123
བ་ དང་ །_ མངོན་ པར་ རྟོགས་ པ་ དང་ 55
བ་ དང་ །_ བྱང་ ཆུབ་ སེམས་ དཔའ་ ཐམས་ 42
བ་ དང་ །_ བྱང་ ཆུབ་ སེམས་ དཔའ་ སེམས་ 159
བ་ དང་ །_ བྱང་ ཆུབ་ སེམས་ དཔའི་ སྤྱོད་ 46
བ་ དང་ །_ ཉན་ ཐོས་ དང་ །_ རང་ 51
བ་ དང་ །_ ཁ་ ན་ མ་ ཐོ་ བ་ 43
བ་ དང་ །_ ཁ་ ཏོན་ དུ་ བྱ་ བའི་ 41
བ་ དང་ །_ སེམས་ ཅན་ ཐམས་ ཅད་ ལ་ 75
བ་ དང་ །_ སེམས་ ཅན་ ཐམས་ ཅད་ ཀྱི་ 134
བ་ དང་ །_ སེམས་ ཅན་ ཡོངས་ སུ་ སྨིན་ 45
བ་ དང་ །_ དུད་ འགྲོ་ དང་ །_ ཡི་ 186
བ་ དང་ །_ དུད་ འགྲོའི་ སྐྱེ་ གནས་ དང་ 155
བ་ དང་ །_ སྐྱེས་ བུ་ དང་ །_ གང་ 53
བ་ དང་ །_ འདུག་ པ་ དང་ །_ ཉལ་ 50
བ་ དང་ །_ བླ་ ན་ མེད་ པ་ ཡང་ 49
བ་ དང་ །_ བསྙེན་ བཀུར་ བྱ་ བ་ དང་ 56
བ་ དང་ །_ བསྙེན་ བཀུར་ བྱ་ བའི་ ཕྱིར་ 64
བ་ དང་ །_ བསྙེན་ བཀུར་ བགྱི་ བ་ དང་ 42
བ་ དང་ །_ བཀུར་ སྟིར་ བྱ་ བ་ དང་ 78
བ་ དང་ །_ ལུས་ ཀྱི་ འདུས་ ཏེ་ རེག་ 103
བ་ དང་ །_ ཆུང་ དགེ་ དང་ །_ ཚད་ 48
བ་ དང་ །_ ཆུང་ ཆེ་ དང་ །_ ཚད་ 42
བ་ དང་ །_ ཆུང་ སྣང་ དང་ །_ ཚད་ 44
བ་ དང་ །_ ལོ་ ལེགས་ པ་ དང་ །_ 86
བ་ དང་ །_ གཅིག་ ནས་ གཅིག་ ཏུ་ བརྒྱུད་ 64
བ་ དང་ །_ གསལ་ བ་ དང་ །_ མངོན་ 56
བ་ དང་ །_ དབེན་ ཞེས་ བྱ་ བར་ དམྱིགས་ 98
བ་ དང་ །_ ཡིད་ ཀྱི་ འདུས་ ཏེ་ རེག་ 100
བ་ དང་ །_ ཡིད་ མི་ བདེ་ བ་ དང་ 304
བ་ དང་ །_ ཡིད་ བདེ་ བ་ སྐྱེས་ ནས་ 51
བ་ དང་ །_ ཡིད་ མྱི་ བདེ་ བ་ དང་ 55
བ་ དང་ །_ མཚན་ མ་ མེད་ ཅེས་ བྱ་ 76
བ་ དང་ །_ མཚན་ མ་ མྱེད་ ཅེས་ བྱ་ 245
བ་ དང་ །_ ཆད་ པ་ སྤང་ བ་ དང་ 54
བ་ དང་ །_ སྣ་ དང་ །_ ལྕེ་ དང་ 353
བ་ དང་ །_ འདུ་ ཤེས་ དང་ །_ འདུ་ 1407
བ་ དང་ །_ ཕ་ རོལ་ ཏུ་ ཕྱིན་ པ་ 79
བ་ དང་ །_ མུ་ སྟེགས་ ཅན་ དང་ །_ 52
བ་ དང་ །_ ཕུ་ དུད་ དུ་ བྱ་ བ་ 56
བ་ དང་ །_ ལུང་ འབོག་ པ་ དང་ །_ 79
བ་ དང་ །_ སྟོང་ པ་ དང་ །_ བདག་ 100
བ་ དང་ །_ སྟོང་ ཞེས་ བྱ་ བ་ དང་ 139
བ་ དང་ །_ སྤོས་ དང་ །_ བྱུག་ པ་ 152
བ་ དང་ །_ སྣའི་ འདུས་ ཏེ་ རེག་ པའི་ 67
བ་ དང་ །_ སྣའི་ འདུས་ ཏེ་ རེག་ པ་ 43
བ་ དང་ །_ ཀློག་ པ་ དང་ །_ ཀུན་ 202
བ་ དང་ །_ ཀློག་ ཅིང་ ཀུན་ ཆུབ་ པར་ 49
བ་ དང་ །_ རྗེད་ པར་ བྱ་ བ་ དང་ 41
བ་ དང་ །_ དུག་ གཞིལ་ བ་ དང་ །_ 40
བ་ དང་ །_ གླེན་ པ་ དང་ །_ ལྐུགས་ 66
བ་ དང་ །_ འགོག་ པ་ དང་ །_ ལམ་ 101
བ་ དང་ །_ གྱ་ ནོམ་ སྣང་ བ་ དང་ 60
བ་ དང་ །_ བྱུག་ པ་ དང་ །_ ཕྱེ་ 100
བ་ དང་ །_ མན་ དཱ་ ར་ བ་ ཆེན་ 75
བ་ དང་ །_ སུག་ པ་ རྐང་ པ་ ལ་ 41
བ་ དང་ །_ བསྐྱབ་ པ་ དང་ །_ སྦ་ 109
བ་ དང་ །_ རྫུ་ འཕྲུལ་ གྱི་ རྐང་ པ་ 230
བ་ དང་ །_ འཁྲུག་ པ་ ལས་ ཡོངས་ སུ་ 121
བ་ དང་ །_ སྨོན་ པ་ མེད་ ཅེས་ བྱ་ 77
བ་ དང་ །_ སྨོན་ པ་ མྱེད་ ཅེས་ བྱ་ 249
བ་ དང་ །_ ལྕེའི་ འདུས་ ཏེ་ རེག་ པའི་ 67
བ་ དང་ །_ དཔེ་ དང་ །_ རྒྱུར་ ཡང་ 64
བ་ དང་ །_ འགྲིབ་ པར་ བྱ་ བའི་ ཕྱིར་ 227
བ་ དང་ །_ བྱོལ་ སོང་ གི་ སྐྱེ་ གནས་ 87
བ་ དང་ །_ སྲེད་ པ་ དང་ །_ ལེན་ 53
བ་ དང་ །_ མྱེད་ པར་ བྱ་ བའི་ ཕྱིར་ 423
བ་ དང་ །_ མྱི་ སྡུག་ ཅེས་ བྱ་ བར་ 173
བ་ དང་ །_ མྱི་ རྟག་ ཅེས་ བྱ་ བར་ 156
བ་ དང་ །_ མྱི་ དབེན་ ཞེས་ བྱ་ བར་ 147
བ་ དང་ །_ མྱི་ སྟོང་ ཞེས་ བྱ་ བར་ 161
བ་ དང་ སྡུག་ བསྔལ་ ཞེས་ བྱ་ བར་ ཡོངས་ 44
བ་ དང་ སྡུག་ བསྔལ་ ཞེས་ བྱ་ བར་ མྱི་ 51
བ་ དང་ གང་ ལ་ བརྩོན་ པར་ བྱ་ བ་ 98
བ་ དང་ ཡི་ དགས་ དང་ དུད་ འགྲོ་ རྣམས་ 50
བ་ དང་ བཅས་ པ་ དང་ །_ ཁ་ ན་ 48
བ་ དང་ མི་ དགེ་ བ་ བྱས་ ཤིང་ བསགས་ 99
བ་ དང་ བདག་ གིར་ བགྱི་ བ་ ལ་ གནས་ 112
བ་ དང་ བདེ་ བ་ ཅན་ བསམ་ གཏན་ དང་ 42
བ་ དང་ མ་ ཞི་ བ་ ཞེས་ བྱ་ བར་ 48
བ་ དང་ མ་ ཞི་ ཞེས་ བྱ་ བར་ ཡོངས་ 45
བ་ དང་ ལྡན་ པའི་ བསོད་ ནམས་ བྱ་ བའི་ 65
བ་ དང་ བསྙེན་ པར་ རྫོགས་ པ་ དགེ་ སློང་ 72
བ་ དང་ རྗེས་ སུ་ སྦྱོར་ བ་ ལ་ བརྩོན་ 47
བ་ དང་ ། སྣ་ དང་ ། ལྕེ་ དང་ 61
བ་ དང་ ། འདུ་ ཤེས་ དང་ ། འདུ་ 161
བ་ དང་ སྣ་ དང་ ལྕེ་ དང་ ལུས་ དང་ 67
བ་ དང་ བཅའ་ བ་ གཙང་ མ་ བཟང་ པོ་ 54
བ་ དང་ འདུ་ ཤེས་ དང་ འདུ་ བྱེད་ དང་ 332
བ་ དང་ འདུ་ ཤེས་ དང་ འདུ་ བྱེད་ རྣམས་ 145
བ་ དང་ ཀློག་ པ་ དང་ ཀུན་ ཆུབ་ པར་ 81
བ་ དང་ བཞིའི་ ལས་ ཀྱིས་ བསྒོ་ བ་ མཛད་ 51
བ་ དང་ འགྲིབ་ པ་ མ་ དམིགས་ ཡང་ དག་ 146
བ་ དང་ འགྲིབ་ པ་ མ་ དམྱིགས་ ཡང་ དག་ 248
བ་ དང་ བསྣན་ པ་ མ་ མཆིས་ པར་ བསླབ་ 110
བ་ དང་ བསྣན་ པ་ མྱེད་ པར་ བསླབ་ པར་ 105
བ་ ཐམས་ ཅད་ ཀྱང་ །_ རྣམ་ པ་ ཐམས་ 336
བ་ ཐམས་ ཅད་ ཀྱང་ རྣམ་ པ་ ཐམས་ ཅད་ 490
བ་ ལ་ ཕྱག་ འཚལ་ ལོ །_། དེ་ བཞིན་ 700
བ་ ལ་ བསླབ་ པའི་ གཞི་ འདི་ ལྟར་ གདོན་ 292
བ་ ལ་ གནས་ པ །_ འགོག་ པ་ ལ་ 75
བ་ ལ་ གནས་ ཀྱིས །_ གཞན་ དག་ ཀྱང་ 51
བ་ ལ་ འདི་ སྐད་ ཅེས་ སྨྲས་ སོ །_། 45
བ་ ལ་ འདི་ སྐད་ ཅེས་ བཀའ་ སྩལ་ ཏོ 52
བ་ ལ་ རབ་ ཏུ་ འབྱུང་ བ་ དང་ བསྙེན་ 71
བ་ ལ་ མཁས་ པར་ རིག་ པར་ བྱའོ །_། 270
བ་ ལ་ ཉན་ ཐོས་ རྣམས་ ཀྱི་ བསླབ་ པའི་ 242
བ་ ལ་ སྤྱོད་ པའི་ བྱང་ ཆུབ་ སེམས་ དཔའ་ 53
བ་ ལ་ སྤྱོད་ ཀྱི །_ ཤེས་ རབ་ ཀྱི་ 92
བ་ ལ་ སྤྱོད་ དེ །_ དེ་ ནི་ སྐྱེ་ 107
བ་ ལ་ སོགས་ པ་ ཡང་ སྔ་ མ་ བཞིན་ 121
བ་ ལ་ སོགས་ པ་ སྔ་ མ་ བཞིན་ ནོ 261
བ་ ལ་ དགོད་ དོ་ ཞེས་ དབུགས་ འབྱིན་ པ་ 59
བ་ ལ་ ཤད་ ཀྱིས་ བྱང་ བར་ འདུ་ ཤེས་ 53
བ་ དན་ དང་ །_ སིལ་ སྙན་ སྣ་ ཚོགས་ 84
བ་ འཇིག་ རྟེན་ དུ་ བྱུང་ སྟེ །_ དེ་ 82
བ་ འཇིག་ རྟེན་ དུ་ བྱུང་ སྟེ །_ དེའི་ 66
བ་ འཇིག་ རྟེན་ དུ་ བྱུང་ ངོ་ །_། དེའི་ 49
བ་ འཇིག་ རྟེན་ གྱི་ ཁམས་ སངས་ རྒྱས་ ཀྱི་ 58
བ་ མེད་ པ་ དང་ །_ མངོན་ པར་ འདུ་ 42
བ་ མེད་ པ་ དང་ །_ དོར་ བ་ མེད་ 41
བ་ མེད་ པ་ དང་ །_ འགག་ པ་ མེད་ 146
བ་ མེད་ པ་ ལ་ གནས་ མེད་ དོ །_། 388
བ་ མེད་ པ་ གང་ ཡིན་ པ་ དེ་ ནི་ 56
བ་ མེད་ པ་ ཞེས་ བྱ་ བའི་ ཏིང་ ངེ་ 82
བ་ མེད་ པ་ སྟོང་ པ་ ཉིད་ དང་ །_ 120
བ་ མེད་ པར་ རྗེས་ སུ་ ལྟ་ བར་ གནས་ 43
བ་ མེད་ ཅིང་ རྣམ་ པར་ རྟོག་ པ་ མེད་ 138
བ་ མེད་ ཅེས་ བྱ་ བར་ དེ་ མི་ དམིགས་ 78
བ་ མེད་ དོ །_། རྣམ་ པ་ ཐམས་ ཅད་ 40
བ་ མེད་ དོ །_། དེ་ ཅིའི་ ཕྱིར་ ཞེ་ 87
བ་ མེད་ དོ །_། ལས་ དང་ པོ་ པ་ 70
བ་ བར་ མ་ དང་ འདྲ་ བ་ ཡང་ བཟླས་ 81
བ་ བར་ མ་ ལྟུང་ བ་ སྔ་ མ་ དང་ 96
བ་ གང་ ཡིན་ པའི་ ཆོས་ དེ་ དག་ ཐམས་ 43
བ་ གང་ ཡིན་ པ་ དེ་ ནི་ ཚུལ་ ཁྲིམས་ 60
བ་ གང་ ཡིན་ པ་ དེ་ ནི་ བརྩོན་ འགྲུས་ 58
བ་ གང་ ཡིན་ པ་ དེ་ ནི་ ཤེས་ རབ་ 63
བ་ གང་ ཡིན་ པ་ དེ་ ནི་ བཟོད་ པའིའོ 41
བ་ གང་ ཡིན་ པ་ དེ་ ནི་ བསམ་ གཏན་ 54
བ་ གང་ ཡིན་ པ་ དེ་ དག་ ཏུ་ ནི་ 57
བ་ གང་ དག་ ཡིན་ པ་ དེ་ དག་ ནི་ 62
བ་ གང་ ཇི་ སྙེད་ ཅིག་ མངོན་ པར་ འདུ་ 59
བ་ གང་ ཞེ་ ན །_ འདི་ ལྟ་ སྟེ 176
བ་ ཆེན་ པོ་ དང་ །_ བཏང་ སྙོམས་ ཆེན་ 80
བ་ ནི །_ སངས་ རྒྱས་ བཅོམ་ ལྡན་ འདས་ 107
བ་ ནི །_ ཚེ་ དང་ ལྡན་ པ་ ཤ་ 125
བ་ ནི །_ བྱང་ ཆུབ་ སེམས་ དཔའ་ སེམས་ 105
བ་ ནི །_ གླེང་ གཞི་ མཉན་ དུ་ ཡོད་ 62
བ་ འདི་ དང་ །_ གླེང་ གཞི་ འདི་ དང་ 127
བ་ འདི་ དང་ ཞེས་ བྱ་ བ་ ནས །_ 144
བ་ འདི་ དང་ ཞེས་ བྱ་ བ་ ནས་ བསླབ་ 42
བ་ འདི་ ནི །_ བྱང་ ཆུབ་ སེམས་ དཔའ་ 74
བ་ འདི་ ནི་ གཉིས་ སུ་ མ་ མཆིས་ ཤིང་ 119
བ་ འདི་ ནི་ ལམ་ གྱི་ ཡན་ ལག་ དགེ་ 49
བ་ འདི་ ནི་ མྱིང་ ཙམ་ དུ་ ཟད་ དོ 106
བ་ ཡིན་ ཏེ །_ དེ་ ཅིའི་ ཕྱིར་ ཞེ་ 112
བ་ ཡིན་ ནོ །_། རབ་ འབྱོར་ ཇི་ ལྟར་ 43
བ་ ཡིན་ ནོ །_། རབ་ འབྱོར་ གལ་ ཏེ་ 160
བ་ ཡིན་ ནོ །_། དེ་ ཅིའི་ ཕྱིར་ ཞེ་ 57
བ་ ཡིན་ ནོ །_། ཤ་ ར་ དྭ་ ཏིའི་ 71
བ་ ཡིན་ གྱིས །_ ཚེ་ དང་ ལྡན་ པས་ 58
བ་ ཡིན་ ཞེ་ ན །_ རབ་ འབྱོར་ འདི་ 79
བ་ ནི་ དེ་ བཞིན་ གཤེགས་ པའོ །_། གཞན་ 69
བ་ ནི་ མ་ བཅིངས་ མ་ གྲོལ་ བ་ སྟེ 115
བ་ ནི་ བྱང་ ཆུབ་ སེམས་ དཔའ་ སེམས་ དཔའ་ 289
བ་ ནི་ བཅུ་ གཉིས་ སྡེ་ དག་ གོ །_། 42
བ་ ནི་ སེམས་ ཅན་ དམྱལ་ བ་ དང་ །_ 91
བ་ ནི་ གོང་ མ་ བཞིན་ ནོ །_། དེ་ 192
བ་ རྣམས་ དང་ །_ དགྲ་ བཅོམ་ པ་ རྣམས་ 46
བ་ རྣམས་ དང་ །_ རྫུ་ འཕྲུལ་ གྱི་ རྐང་ 172
བ་ རྣམས་ ཀྱི་ ནང་ དུ་ སྐྱེ་ བར་ འགྱུར་ 58
བ་ རྣམས་ སུ་ སྐྱེ་ བར་ འགྱུར་ རོ །_། 49
བ་ རྣམས་ ནི་ རྣམ་ པར་ སྨིན་ པ་ ཡང་ 44
བ་ རྣམས་ མ་ བསྐྱེད་ པ་ ལས་ བསྐྱེད་ པར་ 41
བ་ རྣམས་ ལ །_ དེ་ བཞིན་ གཤེགས་ པ་ 45
བ་ རྣམས་ འབའ་ ཞིག་ ལ་ གཏད་ པར་ བྱ་ 43
བ་ རྣམས་ བསྐྱེད་ ཟིན་ པ་ ལས་ ཡོངས་ སུ་ 41
བ་ ལང་ སྐྱོང་ གི་ མ་ ཞི་ བ་ བསད་ 44
བ་ རྣམ་ པར་ དག་ པ་ དང་ །_ རྣམ་ 447
བ་ རྣམ་ པར་ དག་ པ་ གང་ ཡིན་ པ་ 253
བ་ རྣམ་ པར་ དག་ པ་ འདི་ ལ་ གཉིས་ 172
བ་ རྣམ་ པར་ དག་ པ་ སྟེ །_ དེ་ 118
བ་ རྣམ་ པར་ དག་ པ །_ ལུས་ ཀྱི་ 74
བ་ རྣམ་ པར་ དག་ པ །_ ཡིད་ ཀྱི་ 77
བ་ རྣམ་ པར་ དག་ པ །_ རྣ་ བ་ 72
བ་ རྣམ་ པར་ དག་ པ །_ རྣ་ བའི་ 75
བ་ རྣམ་ པར་ དག་ པ །_ སྣའི་ འདུས་ 75
བ་ རྣམ་ པར་ དག་ པ །_ ཚོར་ བ་ 92
བ་ རྣམ་ པར་ དག་ པ །_ ལྕེའི་ འདུས་ 75
བ་ རྣམ་ པར་ དག་ པ །_ མྱིག་ གི་ 69
བ་ རྣམ་ པར་ དག་ པས །_ རྣམ་ པ་ 443
བ་ རྣམ་ པར་ འབྱེད་ པ །_ བམ་ པོ་ 111
བ་ འཁོར་ གྱིས་ ཞུས་ པ །_ བཙུན་ པ་ 122
བ་ བྱེད་ པ་ ཞེས་ བྱ་ བའི་ ཏིང་ ངེ་ 42
བ་ འདས་ པའི་ དུས་ འཁོར་ བ་ དཔག་ ཏུ་ 100
བ་ འདས་ པའི་ དུས་ ན །_ བསྐལ་ པ་ 65
བ་ འདས་ པའི་ དུས་ ན་ བསྐལ་ པ་ བཟང་ 41
བ་ ན །_ དེ་ བཞིན་ གཤེགས་ པ་ དགྲ་ 48
བ་ ཉིད་ དུ་ གྱུར་ ཀྱང་ རུང་ མ་ གྱུར་ 57
བ་ ཉིད་ ཀྱང་ ཡང་ དག་ པར་ རྗེས་ སུ་ 121
བ་ ཞེས་ བྱ་ བ་ ཡོད་ དེ །_ དེ་ 142
བ་ ཞེས་ བྱ་ བའི་ ཆོས་ སྣང་ བའི་ སྒོ་ 88
བ་ ཞེས་ བྱ་ བའི་ ཏིང་ ངེ་ འཛིན་ དང་ 277
བ་ ཞེས་ བྱ་ བའི་ ཏིང་ ངེ་ འཛིན་ ལ་ 195
བ་ ཞེས་ བྱ་ བའི་ ཏིང་ ངེ་ འཛིན་ གང་ 86
བ་ ཞེས་ བྱ་ བའི་ ཏིང་ ངེ་ འཛིན་ ཡོད་ 66
བ་ ཞེས་ བྱ་ བའི་ ཏིང་ ངེ་ འཛིན་ ཏོ 84
བ་ ཞེས་ བྱ་ བར་ རྣམ་ པར་ རྟོག་ པར་ 83
བ་ ཞེས་ བྱ་ བར་ མི་ སྦྱོར་ རོ །_། 92
བ་ ཞེས་ བྱ་ བར་ མྱི་ སྤྲོ་ བ་ འཕྲོ་ 48
བ་ ཞེས་ བགྱིའམ །_ ཨུ་ པཱ་ ལི་ མ་ 67
བ་ ཡང་ དག་ པ་ ཇི་ ལྟ་ བ་ བཞིན་ 68
བ་ ཡང་ དག་ པར་ རྗེས་ སུ་ མི་ མཐོང་ 69
བ་ ཡང་ དག་ པར་ རྗེས་ སུ་ མ་ མཐོང་ 236
བ་ ཡང་ དག་ པར་ རྗེས་ སུ་ མྱི་ མཐོང་ 123
བ་ ཡང་ དག་ བྱང་ ཆུབ་ ཀྱི་ ཡན་ ལག་ 53
བ་ ཡང་ མ་ ཡིན་ ཏེ །_ དེ་ ནི་ 93
བ་ ཡང་ མ་ ཡིན་ ནོ །_། ཀཽ་ ཤི་ 104
བ་ ཡང་ མ་ ཡིན །_ སྡུག་ བསྔལ་ བ་ 40
བ་ ཡང་ མྱེད་ དོ །_། ཡོངས་ སུ་ འགྲིབ་ 41
བ་ ཡང་ མྱི་ དམྱིགས་ འབྱུང་ བ་ ཡང་ མྱི་ 76
བ་ དག་ ཏུ་ སྲེག་ པར་ བྱེད །_ འཚོད་ 86
བ་ དག་ གིས་ ཉེན་ པ་ ལ་ ལྟུང་ བ་ 133
བ་ དག་ ལྷགས་ ན །_ དེ་ དག་ གིས་ 83
བ་ དག་ གོ _། ཀྱེ་ རྒྱལ་ བའི་ སྲས་ 105
བ་ ན་ བཞུགས་ སོ །_། གང་ གི་ ཚེ་ 43
བ་ ན་ བཞུགས་ སོ །_། མཉན་ ཡོད་ ན་ 78
བ་ ན་ བཞུགས་ སོ །_། བཅོམ་ ལྡན་ འདས་ 42
བ་ ན་ བཞུགས་ སོ །_། དེའི་ ཚེ་ ན་ 64
བ་ རབ་ ཏུ་ གནས་ སོ །_། དེ་ དང་ 67
བ་ མི་ ཤེས་ ནས །_ བཅོམ་ ལྡན་ འདས་ 60
བ་ ཤིན་ ཏུ་ རྒྱས་ པ་ ཆེན་ པོའི་ མདོ 108
བ་ དེ་ ལ་ ཇི་ སྐད་ དུ་ བསྟན་ པར་ 46
བ་ དེ་ ནི་ གཉིས་ སུ་ མྱེད་ པའི་ གྲངས་ 206
བ་ དེ་ ན །_ དེ་ བཞིན་ གཤེགས་ པ་ 124
