༄༅ དཀོན་ མཆོག་ གསུམ་ ལ་ ཕྱག་ འཚལ་ ལོ །_། 81
བ་ གང་ ཡིན་ པ་ དེ་ ནི་ བསམ་ གཏན་ གྱིའོ 48
བ་ གང་ དག་ ཡིན་ པ་ དེ་ དག་ ནི་ འདི་ 40
བ་ གང་ ཇི་ སྙེད་ ཅིག་ མངོན་ པར་ འདུ་ མཛད་ 59
བ་ གང་ ཞེ་ ན །_ འདི་ ལྟ་ སྟེ །_ 175
བ་ ཆེན་ པོ་ དང་ །_ བཏང་ སྙོམས་ ཆེན་ པོ་ 64
བ་ ནི །_ སངས་ རྒྱས་ བཅོམ་ ལྡན་ འདས་ ལ་ 93
བ་ ནི །_ ཚེ་ དང་ ལྡན་ པ་ ཤ་ ར་ 125
བ་ ནི །_ བྱང་ ཆུབ་ སེམས་ དཔའ་ སེམས་ དཔའ་ 105
བ་ ནི །_ གླེང་ གཞི་ མཉན་ དུ་ ཡོད་ པ་ 62
བ་ འདི་ དང་ །_ གླེང་ གཞི་ འདི་ དང་ །_ 122
བ་ འདི་ དང་ ཞེས་ བྱ་ བ་ ནས །_ བསླབ་ 143
བ་ འདི་ དང་ ཞེས་ བྱ་ བ་ ནས་ བསླབ་ པ་ 42
བ་ འདི་ ནི །_ བྱང་ ཆུབ་ སེམས་ དཔའ་ སེམས་ 73
བ་ འདི་ ནི་ གཉིས་ སུ་ མ་ མཆིས་ ཤིང་ ཉམ་ 104
བ་ འདི་ ནི་ ལམ་ གྱི་ ཡན་ ལག་ དགེ་ བའི་ 49
བ་ འདི་ ནི་ མྱིང་ ཙམ་ དུ་ ཟད་ དོ །_། 106
བ་ ཡིན་ ཏེ །_ དེ་ ཅིའི་ ཕྱིར་ ཞེ་ ན 112
བ་ ཡིན་ ནོ །_། རབ་ འབྱོར་ ཇི་ ལྟར་ ན་ 43
བ་ ཡིན་ ནོ །_། དེ་ ཅིའི་ ཕྱིར་ ཞེ་ ན 57
བ་ ཡིན་ ནོ །_། ཤ་ ར་ དྭ་ ཏིའི་ བུ་ 61
བ་ ཡིན་ ཞེ་ ན །_ རབ་ འབྱོར་ འདི་ ལ་ 79
བ་ ནི་ དེ་ བཞིན་ གཤེགས་ པའོ །_། གཞན་ ཡང་ 69
བ་ ནི་ མ་ བཅིངས་ མ་ གྲོལ་ བ་ སྟེ །_ 115
བ་ ནི་ བྱང་ ཆུབ་ སེམས་ དཔའ་ སེམས་ དཔའ་ ཆེན་ 289
བ་ ནི་ སེམས་ ཅན་ དམྱལ་ བ་ དང་ །_ དུད་ 88
བ་ ནི་ གོང་ མ་ བཞིན་ ནོ །_། དེ་ ལ་ 192
བ་ རྣམས་ དང་ །_ དགྲ་ བཅོམ་ པ་ རྣམས་ དང་ 42
བ་ རྣམས་ དང་ །_ རྫུ་ འཕྲུལ་ གྱི་ རྐང་ པ་ 172
བ་ རྣམས་ ནི་ རྣམ་ པར་ སྨིན་ པ་ ཡང་ གཅིག་ 44
བ་ རྣམས་ མ་ བསྐྱེད་ པ་ ལས་ བསྐྱེད་ པར་ བྱ 41
བ་ རྣམས་ ལ །_ དེ་ བཞིན་ གཤེགས་ པ་ ནོར་ 45
བ་ རྣམས་ འབའ་ ཞིག་ ལ་ གཏད་ པར་ བྱ་ སྟེ 42
བ་ རྣམས་ བསྐྱེད་ ཟིན་ པ་ ལས་ ཡོངས་ སུ་ སྨིན་ 41
བ་ རྣམ་ པར་ དག་ པ་ དང་ །_ རྣམ་ པ་ 442
བ་ རྣམ་ པར་ དག་ པ་ གང་ ཡིན་ པ་ དེ་ 253
བ་ རྣམ་ པར་ དག་ པ་ འདི་ ལ་ གཉིས་ སུ་ 172
བ་ རྣམ་ པར་ དག་ པ་ སྟེ །_ དེ་ ལྟར་ 118
བ་ རྣམ་ པར་ དག་ པ །_ ལུས་ ཀྱི་ འདུས་ 74
བ་ རྣམ་ པར་ དག་ པ །_ ཡིད་ ཀྱི་ འདུས་ 77
བ་ རྣམ་ པར་ དག་ པ །_ རྣ་ བ་ རྣམ་ 72
བ་ རྣམ་ པར་ དག་ པ །_ རྣ་ བའི་ འདུས་ 75
བ་ རྣམ་ པར་ དག་ པ །_ སྣའི་ འདུས་ ཏེ་ 75
བ་ རྣམ་ པར་ དག་ པ །_ ཚོར་ བ་ རྣམ་ 92
བ་ རྣམ་ པར་ དག་ པ །_ ལྕེའི་ འདུས་ ཏེ་ 75
བ་ རྣམ་ པར་ དག་ པ །_ མྱིག་ གི་ འདུས་ 69
བ་ རྣམ་ པར་ དག་ པས །_ རྣམ་ པ་ ཐམས་ 443
བ་ འཁོར་ གྱིས་ ཞུས་ པ །_ བཙུན་ པ་ བཅོམ་ 75
བ་ བྱེད་ པ་ ཞེས་ བྱ་ བའི་ ཏིང་ ངེ་ འཛིན་ 42
བ་ འདས་ པའི་ དུས་ འཁོར་ བ་ དཔག་ ཏུ་ མེད་ 100
བ་ འདས་ པའི་ དུས་ ན །_ བསྐལ་ པ་ བཟང་ 46
བ་ འདས་ པའི་ དུས་ ན་ བསྐལ་ པ་ བཟང་ པོ་ 41
བ་ ན །_ དེ་ བཞིན་ གཤེགས་ པ་ དགྲ་ བཅོམ་ 48
བ་ ཉིད་ དུ་ གྱུར་ ཀྱང་ རུང་ མ་ གྱུར་ ཀྱང་ 57
བ་ ཉིད་ ཀྱང་ ཡང་ དག་ པར་ རྗེས་ སུ་ མི་ 113
བ་ ཞེས་ བྱ་ བ་ ཡོད་ དེ །_ དེ་ ན་ 113
བ་ ཞེས་ བྱ་ བའི་ ཆོས་ སྣང་ བའི་ སྒོ་ ཡོད་ 88
བ་ ཞེས་ བྱ་ བའི་ ཏིང་ ངེ་ འཛིན་ དང་ །_ 258
བ་ ཞེས་ བྱ་ བའི་ ཏིང་ ངེ་ འཛིན་ ལ་ སྙོམས་ 188
བ་ ཞེས་ བྱ་ བའི་ ཏིང་ ངེ་ འཛིན་ གང་ ཞེ་ 86
བ་ ཞེས་ བྱ་ བའི་ ཏིང་ ངེ་ འཛིན་ ཏོ །_། 82
བ་ ཞེས་ བྱ་ བར་ རྣམ་ པར་ རྟོག་ པར་ མྱི་ 60
བ་ ཞེས་ བྱ་ བར་ མྱི་ སྤྲོ་ བ་ འཕྲོ་ བར་ 48
བ་ ཞེས་ བགྱིའམ །_ ཨུ་ པཱ་ ལི་ མ་ ཡིན་ 48
བ་ ཡང་ དག་ པ་ ཇི་ ལྟ་ བ་ བཞིན་ དུ་ 48
བ་ ཡང་ དག་ པར་ རྗེས་ སུ་ མ་ མཐོང་ བ་ 108
བ་ ཡང་ དག་ པར་ རྗེས་ སུ་ མ་ མཐོང་ བས 110
བ་ ཡང་ དག་ པར་ རྗེས་ སུ་ མྱི་ མཐོང་ ངོ་ 105
བ་ ཡང་ མ་ ཡིན་ ཏེ །_ དེ་ ནི་ མཚན་ 91
བ་ ཡང་ མ་ ཡིན་ ནོ །_། ཀཽ་ ཤི་ ཀ་ 104
བ་ ཡང་ མ་ ཡིན །_ སྡུག་ བསྔལ་ བ་ ཡང་ 40
བ་ ཡང་ མྱེད་ དོ །_། ཡོངས་ སུ་ འགྲིབ་ པ་ 41
བ་ ཡང་ མྱི་ དམྱིགས་ འབྱུང་ བ་ ཡང་ མྱི་ དམྱིགས་ 73
བ་ དག་ ཏུ་ སྲེག་ པར་ བྱེད །_ འཚོད་ པར་ 86
བ་ དག་ གིས་ ཉེན་ པ་ ལ་ ལྟུང་ བ་ མེད་ 133
བ་ དག་ ལྷགས་ ན །_ དེ་ དག་ གིས་ ཡང་ 55
བ་ དག་ གོ _། ཀྱེ་ རྒྱལ་ བའི་ སྲས་ བཅུ་ 103
བ་ རབ་ ཏུ་ གནས་ སོ །_། དེ་ དང་ འདབ་ 67
བ་ མི་ ཤེས་ ནས །_ བཅོམ་ ལྡན་ འདས་ ཀྱིས་ 60
བ་ ཤིན་ ཏུ་ རྒྱས་ པ་ ཆེན་ པོའི་ མདོ །_། 59
བ་ ཤིན་ ཏུ་ རྒྱས་ པ་ ཆེན་ པོའི་ མདོ །_ 45
བ་ དེ་ ལ་ ཇི་ སྐད་ དུ་ བསྟན་ པར་ བགྱི 46
བ་ དེ་ ནི་ གཉིས་ སུ་ མྱེད་ པའི་ གྲངས་ སུ་ 206
བ་ དེ་ ན །_ དེ་ བཞིན་ གཤེགས་ པ་ དགྲ་ 104
བ་ དེ་ ཡང་ སེམས་ ཅན་ ཐམས་ ཅད་ དང་ ཐུན་ 62
བ་ དེ་ དག་ འདི་ ལྟར་ ཡོངས་ སུ་ བསྔོ་ སྟེ 43
བ་ དེ་ བཞིན་ དུ་ ཆོས་ སྟོན་ ཏོ །_། ཡང་ 40
བ་ དེ་ བཞིན་ ཉིད་ དང་ །_ གཞན་ མ་ ཡིན་ 194
བ་ དེ་ བཞིན་ གཤེགས་ པ་ དགྲ་ བཅོམ་ པ་ ཡང་ 62
བ་ དེ་ མ་ ཡིན་ པ་ བྱང་ ཆུབ་ ཀྱི་ བགེགས་ 44
བ་ དེ་ མ་ བཤགས་ ཤིང་ སོ་ སོར་ མ་ བཤགས་ 86
བ་ དེ་ ལྟ་ དེ་ ལྟར་ ཕ་ རོལ་ ཏུ་ ཕྱིན་ 43
བ་ དེ་ ལྟ་ བུ་ ཡང་ མཐོང་ ངམ །_ གསོལ་ 110
བ་ དེ་ ལྟ་ བུ་ ཡང་ མྱེད་ ཅིང་ མྱི་ དམྱིགས་ 58
བ་ དེ་ ལྟ་ བུ་ མཐོང་ ངམ །_ ཆོས་ གང་ 86
བ་ དེ་ ལྟ་ བུ་ ལས་ སླར་ ལོག་ པ་ ཡིན་ 42
བ་ དེ་ ལས་ ཐར་ བར་ འགྱུར་ ཏེ །_ ཐར་ 66
བ་ དེ་ ལྟར་ ཆོས་ ཐམས་ ཅད་ ཀྱང་ ཡང་ དག་ 47
བ་ དེ་ ལྟར་ སྟོན་ ཏོ །_། བྱང་ ཆུབ་ སེམས་ 44
བ་ དེ་ ལྟར་ ཡང་ མྱི་ སྤྱོད་ ན །_ ཤེས་ 77
བ་ དེ་ བཞིན །_ གཞན་ མ་ ཡིན་ པ་ དེ་ 65
བ་ དེ་ ལོགས་ སུ་ ཐལ་ མོ་ སྦྱར་ བ་ བཏུད་ 690
