༄༅ རྒྱ་ གར་ སྐད་ དུ །_ 319
བ་ དང་ །_ ཕྱག་ བགྱི་ བ་ 57
བ་ དང་ །_ འཇིག་ པ་ དང་ 41
བ་ དང་ །_ འཇིག་ རྟེན་ ལ་ 129
བ་ དང་ །_ འཇིག་ རྟེན་ གྱི་ 144
བ་ དང་ །_ དམ་ པའི་ ཆོས་ 110
བ་ དང་ །_ ཆོས་ ཐམས་ ཅད་ 152
བ་ དང་ །_ ཆོས་ ཀྱི་ དབྱིངས་ 78
བ་ དང་ །_ ཆོས་ སྟོན་ པའི་ 42
བ་ དང་ །_ ཆོས་ སྟོན་ པ་ 66
བ་ དང་ །_ ཆོས་ མཉན་ པའི་ 49
བ་ དང་ །_ མཆོག་ ཏུ་ དགའ་ 128
བ་ དང་ །_ སྡུག་ བསྔལ་ བ་ 64
བ་ དང་ །_ སྡུག་ བསྔལ་ ཞེས་ 309
བ་ དང་ །_ འགྲོ་ བ་ དང་ 46
བ་ དང་ །_ འགྲོ་ བ་ ཐམས་ 48
བ་ དང་ །_ བསླབ་ པའི་ གཞི་ 89
བ་ དང་ །_ སངས་ རྒྱས་ ཐམས་ 82
བ་ དང་ །_ སངས་ རྒྱས་ ཀྱི་ 386
བ་ དང་ །_ སངས་ རྒྱས་ བཅོམ་ 61
བ་ དང་ །_ གང་ ཟག་ ཏུ་ 73
བ་ དང་ །_ གནས་ པ་ དང་ 60
བ་ དང་ །_ སྙིང་ རྗེ་ ཆེན་ 53
བ་ དང་ །_ ཀུན་ ཆུབ་ པར་ 55
བ་ དང་ །_ ཀུན་ སྣང་ དང་ 47
བ་ དང་ །_ དགེ་ བ་ དང་ 61
བ་ དང་ །_ དགེ་ བའི་ ཆོས་ 49
བ་ དང་ །_ དགེ་ བའི་ བཤེས་ 57
བ་ དང་ །_ དགེ་ བའི་ རྩ་ 125
བ་ དང་ །_ དགེ་ རྒྱས་ དང་ 48
བ་ དང་ །_ དགེ་ སློང་ རྣམས་ 66
བ་ དང་ །_ དགེ་ སློང་ དག་ 41
བ་ དང་ །_ ཚུལ་ བཞིན་ དུ་ 42
བ་ དང་ །_ རྣམ་ པ་ ཐམས་ 48
བ་ དང་ །_ རྣམ་ པར་ ཐར་ 49
བ་ དང་ །_ རྣམ་ པར་ འཇིག་ 58
བ་ དང་ །_ རྣམ་ པར་ གྲོལ་ 124
བ་ དང་ །_ རྣམ་ པར་ ཤེས་ 64
བ་ དང་ །_ རྣམ་ པར་ འཐོར་ 51
བ་ དང་ །_ ངེས་ པར་ འབྱུང་ 40
བ་ དང་ །_ ཉོན་ མོངས་ པ་ 80
བ་ དང་ །_ ཡི་ དགས་ དང་ 162
བ་ དང་ །_ ཡི་ གེར་ འདྲིར་ 56
བ་ དང་ །_ མྱ་ ངན་ དང་ 238
བ་ དང་ །_ མྱ་ ངན་ ལས་ 124
བ་ དང་ །_ ཡང་ དག་ པའི་ 162
བ་ དང་ །_ ཡང་ དག་ པར་ 269
བ་ དང་ །_ ན་ བ་ དང་ 351
བ་ དང་ །_ རབ་ ཏུ་ དགའ་ 61
བ་ དང་ །_ རབ་ ཏུ་ ཚ་ 52
བ་ དང་ །_ མི་ དགེ་ བ་ 141
བ་ དང་ །_ མི་ དགེ་ བའི་ 79
བ་ དང་ །_ མི་ རྟག་ ཅེས་ 58
བ་ དང་ །_ མི་ དབེན་ ཞེས་ 50
བ་ དང་ །_ མི་ འམ་ ཅིའི་ 61
བ་ དང་ །_ མི་ གདུང་ བ་ 60
བ་ དང་ །_ ཤིན་ ཏུ་ མཐོང་ 52
བ་ དང་ །_ དེ་ དག་ ལ་ 73
བ་ དང་ །_ དེ་ དག་ གིས་ 72
བ་ དང་ །_ དེ་ བཞིན་ དུ་ 130
བ་ དང་ །_ དེ་ བཞིན་ གཤེགས་ 480
བ་ དང་ །_ དེ་ ལྟ་ ལགས་ 51
བ་ དང་ །_ ཡོངས་ སུ་ མྱ་ 66
བ་ དང་ །_ ཡོངས་ སུ་ ཤེས་ 116
བ་ དང་ །_ ཡོངས་ སུ་ བསྐྱང་ 104
བ་ དང་ །_ ཡོངས་ སུ་ བསྐྱབ་ 46
བ་ དང་ །_ བདག་ དང་ །_ 131
བ་ དང་ །_ བདག་ མེད་ པ་ 96
བ་ དང་ །_ བདག་ མེད་ ཅེས་ 85
བ་ དང་ །_ བདག་ མྱེད་ ཅེས་ 236
བ་ དང་ །_ འདོད་ ཆགས་ དང་ 62
བ་ དང་ །_ འབྲས་ བུ་ ཆེ་ 55
བ་ དང་ །_ ཕྱིར་ མི་ འོང་ 174
བ་ དང་ །_ ཐོས་ པ་ དང་ 80
བ་ དང་ །_ འཛིན་ པ་ དང་ 71
བ་ དང་ །_ བདེ་ བ་ དང་ 56
བ་ དང་ །_ བདེ་ བ་ ཅན་ 46
བ་ དང་ །_ བདེ་ ལེགས་ སུ་ 67
བ་ དང་ །_ མ་ ཞི་ ཞེས་ 199
བ་ དང་ །_ དགྲ་ བཅོམ་ པ་ 162
བ་ དང་ །_ བཅོམ་ ལྡན་ འདས་ 360
བ་ དང་ །_ སྐྱེ་ བ་ དང་ 67
བ་ དང་ །_ སྐྱེ་ བོ་ མང་ 43
བ་ དང་ །_ སྐྱེ་ བོ་ ཕལ་ 48
བ་ དང་ །_ ཤེས་ རབ་ ཀྱི་ 83
བ་ དང་ །_ ཞི་ བ་ དང་ 116
བ་ དང་ །_ ཞི་ ཞེས་ བྱ་ 144
བ་ དང་ །_ ཇི་ ཙམ་ ན་ 81
བ་ དང་ །_ ཇི་ ལྟར་ ནན་ 103
བ་ དང་ །_ རྒ་ བ་ དང་ 331
བ་ དང་ །_ འཆི་ བ་ དང་ 276
བ་ དང་ །_ མངོན་ པར་ འདུ་ 140
བ་ དང་ །_ མངོན་ པར་ རྟོགས་ 59
བ་ དང་ །_ བྱང་ ཆུབ་ ཀྱི་ 95
བ་ དང་ །_ བྱང་ ཆུབ་ སེམས་ 707
བ་ དང་ །_ ཉན་ ཐོས་ དང་ 69
བ་ དང་ །_ ཅི་ ནས་ ཀྱང་ 44
བ་ དང་ །_ དྲང་ སྲོང་ ཆེན་ 62
བ་ དང་ །_ ཁ་ ན་ མ་ 43
བ་ དང་ །_ ཁ་ ཅིག་ གིས་ 43
བ་ དང་ །_ ཁ་ ཏོན་ དུ་ 45
བ་ དང་ །_ སེམས་ ཅན་ ཐམས་ 383
བ་ དང་ །_ སེམས་ ཅན་ དུ་ 42
བ་ དང་ །_ སེམས་ ཅན་ གྱི་ 88
བ་ དང་ །_ སེམས་ ཅན་ རྣམས་ 76
བ་ དང་ །_ སེམས་ ཅན་ ཡོངས་ 56
བ་ དང་ །_ སེམས་ ཅན་ དམྱལ་ 43
བ་ དང་ །_ ལྟུང་ བ་ དང་ 44
བ་ དང་ །_ ལན་ ཅིག་ ཕྱིར་ 42
བ་ དང་ །_ དུད་ འགྲོ་ དང་ 212
བ་ དང་ །_ དུད་ འགྲོའི་ སྐྱེ་ 172
བ་ དང་ །_ སྐྱེས་ བུ་ དང་ 58
བ་ དང་ །_ འདུག་ པ་ དང་ 64
བ་ དང་ །_ བླ་ ན་ མེད་ 72
བ་ དང་ །_ བསྙེན་ པར་ རྫོགས་ 75
བ་ དང་ །_ བསྙེན་ བཀུར་ བྱ་ 142
བ་ དང་ །_ བསྙེན་ བཀུར་ བགྱི་ 69
བ་ དང་ །_ བཀུར་ སྟིར་ བྱ་ 84
བ་ དང་ །_ ལུས་ ཀྱི་ འདུས་ 103
བ་ དང་ །_ ཆུང་ དགེ་ དང་ 48
བ་ དང་ །_ ཆུང་ ཆེ་ དང་ 43
བ་ དང་ །_ ཆུང་ སྣང་ དང་ 44
བ་ དང་ །_ རྩོད་ པ་ དང་ 42
བ་ དང་ །_ ལོ་ ལེགས་ པ་ 97
བ་ དང་ །_ དགའ་ བ་ དང་ 61
བ་ དང་ །_ གཅིག་ ནས་ གཅིག་ 68
བ་ དང་ །_ གསལ་ བ་ དང་ 94
བ་ དང་ །_ ཉེ་ བར་ ཞི་ 47
བ་ དང་ །_ འོག་ མིན་ གྱི་ 50
བ་ དང་ །_ མགུ་ བ་ དང་ 66
བ་ དང་ །_ ཉི་ མ་ དང་ 49
བ་ དང་ །_ དབེན་ ཞེས་ བྱ་ 138
བ་ དང་ །_ ཡིད་ དུ་ འོང་ 61
བ་ དང་ །_ ཡིད་ ཀྱི་ འདུས་ 100
བ་ དང་ །_ ཡིད་ མི་ བདེ་ 359
བ་ དང་ །_ ཡིད་ བདེ་ བ་ 156
བ་ དང་ །_ ཡིད་ མྱི་ བདེ་ 65
བ་ དང་ །_ རིན་ པོ་ ཆེའི་ 50
བ་ དང་ །_ དད་ པ་ དང་ 43
བ་ དང་ །_ མོས་ པ་ དང་ 44
བ་ དང་ །_ མཚན་ མ་ མེད་ 104
བ་ དང་ །_ མཚན་ མ་ མྱེད་ 247
བ་ དང་ །_ ཆད་ པ་ སྤང་ 54
བ་ དང་ །_ སྣ་ དང་ །_ 387
བ་ དང་ །_ བཅའ་ བ་ དང་ 75
བ་ དང་ །_ མཆོད་ པ་ དང་ 43
བ་ དང་ །_ མཆོད་ པར་ བྱ་ 84
བ་ དང་ །_ འདུ་ ཤེས་ དང་ 1473
བ་ དང་ །_ ཕ་ རོལ་ ཏུ་ 87
བ་ དང་ །_ ཚ་ བ་ དང་ 93
བ་ དང་ །_ དྲི་ ཟའི་ བུ་ 53
བ་ དང་ །_ མྱོས་ པ་ དང་ 44
བ་ དང་ །_ བཏུང་ བ་ དང་ 139
བ་ དང་ །_ མུ་ སྟེགས་ ཅན་ 80
བ་ དང་ །_ ཕུ་ དུད་ དུ་ 58
བ་ དང་ །_ སྐྱོབ་ པ་ དང་ 48
བ་ དང་ །_ ལྷ་ དང་ །_ 42
བ་ དང་ །_ ལྷ་ དང་ མི་ 59
བ་ དང་ །_ ལུང་ འབོག་ པ་ 93
བ་ དང་ །_ ཀླུའི་ རྒྱལ་ པོ་ 63
བ་ དང་ །_ སྟོང་ པ་ དང་ 147
བ་ དང་ །_ སྟོང་ པ་ ཉིད་ 66
བ་ དང་ །_ སྟོང་ ཞེས་ བྱ་ 139
བ་ དང་ །_ སྤོས་ དང་ །_ 168
བ་ དང་ །_ སྣའི་ འདུས་ ཏེ་ 111
བ་ དང་ །_ ཀློག་ པ་ དང་ 375
བ་ དང་ །_ ཀློག་ ཅིང་ ཀུན་ 52
བ་ དང་ །_ རྗེད་ པར་ བྱ་ 42
བ་ དང་ །_ དུག་ གཞིལ་ བ་ 40
བ་ དང་ །_ གླེན་ པ་ དང་ 78
བ་ དང་ །_ འགོག་ པ་ དང་ 145
བ་ དང་ །_ གྱ་ ནོམ་ སྣང་ 75
བ་ དང་ །_ བྱུག་ པ་ དང་ 212
བ་ དང་ །_ ཏིང་ ངེ་ འཛིན་ 116
བ་ དང་ །_ གསེག་ མ་ དང་ 42
བ་ དང་ །_ རྐེ་ བ་ དང་ 40
བ་ དང་ །_ མན་ དཱ་ ར་ 78
བ་ དང་ །_ སུག་ པ་ རྐང་ 44
བ་ དང་ །_ བསྐྱབ་ པ་ དང་ 165
བ་ དང་ །_ རྫུ་ འཕྲུལ་ གྱི་ 247
བ་ དང་ །_ འཁྲུག་ པ་ དང་ 50
བ་ དང་ །_ འཁྲུག་ པ་ རྣམས་ 122
བ་ དང་ །_ འཁྲུག་ པ་ ལས་ 130
བ་ དང་ །_ མནར་ མེད་ པ་ 40
བ་ དང་ །_ སྨོན་ པ་ མེད་ 93
བ་ དང་ །_ སྨོན་ པ་ མྱེད་ 251
བ་ དང་ །_ ལྕེའི་ འདུས་ ཏེ་ 107
བ་ དང་ །_ དཔེ་ དང་ །_ 68
བ་ དང་ །_ ཐེག་ པ་ ཆེན་ 50
བ་ དང་ །_ འགྲིབ་ པར་ བྱ་ 227
བ་ དང་ །_ བྱོལ་ སོང་ གི་ 88
བ་ དང་ །_ སྲེད་ པ་ དང་ 72
བ་ དང་ །_ མྱེད་ པར་ བྱ་ 423
བ་ དང་ །_ མྱི་ སྡུག་ ཅེས་ 173
བ་ དང་ །_ མྱི་ རྟག་ ཅེས་ 156
བ་ དང་ །_ མྱི་ དབེན་ ཞེས་ 147
བ་ དང་ །_ མྱི་ སྟོང་ ཞེས་ 161
བ་ དང་ སྡུག་ བསྔལ་ ཞེས་ བྱ་ 111
བ་ དང་ བསླབ་ པའི་ གཞི་ རྣམས་ 58
བ་ དང་ གང་ ལ་ བརྩོན་ པར་ 98
བ་ དང་ ཡི་ དགས་ དང་ དུད་ 87
བ་ དང་ མྱ་ ངན་ ལས་ འདས་ 67
བ་ དང་ བཅས་ པ་ དང་ །_ 98
བ་ དང་ མི་ དགེ་ བ་ བྱས་ 100
བ་ དང་ མི་ དགེ་ བའི་ ཆོས་ 43
བ་ དང་ མི་ དགེ་ བའི་ ལས་ 47
བ་ དང་ མི་ ལྡན་ པས །_ 45
བ་ དང་ བདག་ མེད་ ཅེས་ བྱ་ 47
བ་ དང་ བདག་ གིར་ བགྱི་ བ་ 112
བ་ དང་ བདེ་ བ་ ཅན་ བསམ་ 64
བ་ དང་ བདེ་ ལེགས་ སུ་ འགྱུར་ 101
བ་ དང་ མ་ ཞི་ བ་ ཞེས་ 52
བ་ དང་ མ་ ཞི་ ཞེས་ བྱ་ 61
བ་ དང་ ལྡན་ པའི་ སེམས་ བསྐྱེད་ 48
བ་ དང་ ལྡན་ པའི་ བསོད་ ནམས་ 79
བ་ དང་ ལྡན་ པ་ དང་ །_ 89
བ་ དང་ ལྡན་ པར་ འགྱུར་ རོ 56
བ་ དང་ བསྙེན་ པར་ རྫོགས་ པ་ 78
བ་ དང་ རྗེས་ སུ་ སྦྱོར་ བ་ 47
བ་ དང་ གཅིག་ ནས་ གཅིག _། 68
བ་ དང་ ། སྣ་ དང་ ། 61
བ་ དང་ ། འདུ་ ཤེས་ དང་ 169
བ་ དང་ ཡིད་ མི་ བདེ་ བ་ 50
བ་ དང་ ཡིད་ བདེ་ བ་ སྐྱེས་ 116
བ་ དང་ སྣ་ དང་ ལྕེ་ དང་ 74
བ་ དང་ བཟའ་ བ་ གཙང་ ཞིང་ 41
བ་ དང་ བཅའ་ བ་ གཙང་ མ་ 58
བ་ དང་ འདུ་ ཤེས་ དང་ འདུ་ 478
བ་ དང་ ཀློག་ པ་ དང་ ཀུན་ 81
བ་ དང་ བཞིའི་ ལས་ ཀྱིས་ བསྒོ་ 126
བ་ དང་ འགྲིབ་ པ་ མ་ དམིགས་ 148
བ་ དང་ འགྲིབ་ པ་ མ་ དམྱིགས་ 249
བ་ དང་ བསྣན་ པ་ མ་ མཆིས་ 110
བ་ དང་ བསྣན་ པ་ མྱེད་ པར་ 105
བ་ ཐམས་ ཅད་ ཡང་ དག་ པར་ 98
བ་ ཐམས་ ཅད་ ཡོངས་ སུ་ རྫོགས་ 84
བ་ ཐམས་ ཅད་ ཀྱང་ །_ རྣམ་ 336
བ་ ཐམས་ ཅད་ ཀྱང་ རྣམ་ པ་ 490
བ་ ལ་ ཕྱག་ འཚལ་ ལོ །_། 787
བ་ ལ་ བསླབ་ པའི་ གཞི་ འདི་ 293
བ་ ལ་ བསླབ་ པར་ བགྱི །_ 45
བ་ ལ་ གནས་ པའི་ ཡིད་ ཀྱིས 103
བ་ ལ་ གནས་ པ །_ འགོག་ 75
བ་ ལ་ གནས་ ཀྱིས །_ གཞན་ 51
བ་ ལ་ འདི་ སྐད་ ཅེས་ སྨྲས་ 46
བ་ ལ་ འདི་ སྐད་ ཅེས་ བཀའ་ 52
བ་ ལ་ འཇུག་ པ་ དང་ །_ 47
བ་ ལ་ ཡང་ དག་ པར་ བསྐུལ་ 66
བ་ ལ་ ཡང་ དག་ པར་ སྐུལ་ 60
བ་ ལ་ རབ་ ཏུ་ བྱུང་ བ་ 62
བ་ ལ་ རབ་ ཏུ་ འབྱུང་ བ་ 115
བ་ ལ་ མཁས་ པ་ དང་ །_ 99
བ་ ལ་ མཁས་ པ་ ཡིན །_ 40
བ་ ལ་ མཁས་ པར་ རིག་ པར་ 273
བ་ ལ་ ལྷག་ པར་ བྱ་ བ་ 52
བ་ ལ་ མངོན་ པར་ ཞེན་ པ་ 48
བ་ ལ་ ཉན་ ཐོས་ རྣམས་ ཀྱི་ 242
བ་ ལ་ རེག་ པར་ གནས་ པར་ 87
བ་ ལ་ སྤྱོད་ པའི་ བྱང་ ཆུབ་ 53
བ་ ལ་ སྤྱོད་ ཀྱི །_ ཤེས་ 92
བ་ ལ་ སྤྱོད་ དེ །_ དེ་ 107
བ་ ལ་ སོགས་ པའི་ སྡུག་ བསྔལ་ 44
བ་ ལ་ སོགས་ པ་ ཡང་ སྔ་ 121
བ་ ལ་ སོགས་ པ་ སྔ་ མ་ 266
བ་ ལ་ དགོད་ དོ་ ཞེས་ དབུགས་ 59
བ་ ལ་ ཤད་ ཀྱིས་ བྱང་ བར་ 53
བ་ དན་ དང་ །_ སིལ་ སྙན་ 93
བ་ དན་ དག་ གིས་ བསྟི་ སྟང་ 50
བ་ འཇིག་ རྟེན་ དུ་ བྱུང་ སྟེ 211
བ་ འཇིག་ རྟེན་ དུ་ བྱུང་ ངོ་ 94
བ་ འཇིག་ རྟེན་ གྱི་ ཁམས་ སངས་ 58
བ་ མེད་ པའི་ ཕྱིར་ རོ །_། 67
བ་ མེད་ པ་ དང་ །_ གང་ 42
བ་ མེད་ པ་ དང་ །_ མངོན་ 48
བ་ མེད་ པ་ དང་ །_ དོར་ 41
བ་ མེད་ པ་ དང་ །_ འགག་ 149
བ་ མེད་ པ་ ལ་ གནས་ མེད་ 388
བ་ མེད་ པ་ གང་ ཡིན་ པ་ 81
བ་ མེད་ པ་ ཡིན་ ནོ །_། 62
བ་ མེད་ པ་ ཞེས་ བྱ་ བ་ 49
བ་ མེད་ པ་ ཞེས་ བྱ་ བའི་ 94
བ་ མེད་ པ་ སྟོང་ པ་ ཉིད་ 373
བ་ མེད་ པར་ འགྱུར་ རོ །_། 71
བ་ མེད་ པར་ རྗེས་ སུ་ ལྟ་ 44
བ་ མེད་ ཅིང་ འཇིག་ པ་ མེད་ 54
བ་ མེད་ ཅིང་ རྣམ་ པར་ རྟོག་ 170
བ་ མེད་ ཅེས་ བྱ་ བ་ དང་ 51
བ་ མེད་ ཅེས་ བྱ་ བར་ དེ་ 87
བ་ མེད་ དོ །_། དགེ་ སློང་ 82
བ་ མེད་ དོ །_། རྣམ་ པ་ 40
བ་ མེད་ དོ །_། དེ་ བཞིན་ 60
བ་ མེད་ དོ །_། དེ་ ཅིའི་ 87
བ་ མེད་ དོ །_། ལས་ དང་ 71
བ་ མེད་ དོ །_། བཙུན་ པ་ 42
བ་ མེད་ དོ །_། ལྟུང་ བྱེད་ 50
བ་ མེད་ འགག་ པ་ མེད་ དེ 41
བ་ བར་ མ་ དང་ འདྲ་ བ་ 81
བ་ བར་ མ་ ལྟུང་ བ་ སྔ་ 96
བ་ སངས་ རྒྱས་ ཐམས་ ཅད་ ཀྱི་ 64
བ་ གང་ ཡིན་ པའི་ ཆོས་ དེ་ 44
བ་ གང་ ཡིན་ པ་ དང་ །_ 240
བ་ གང་ ཡིན་ པ་ འདི་ ནི་ 52
བ་ གང་ ཡིན་ པ་ དེ་ ནི 124
བ་ གང་ ཡིན་ པ་ དེ་ ནི་ 806
བ་ གང་ ཡིན་ པ་ དེ་ ཡང་ 59
བ་ གང་ ཡིན་ པ་ དེ་ དག་ 313
བ་ གང་ ཡང་ མེད་ དོ །_། 51
བ་ གང་ དག་ ཡིན་ པ་ དེ་ 114
བ་ གང་ ཇི་ སྙེད་ པ་ དེ་ 45
བ་ གང་ ཇི་ སྙེད་ ཅིག་ མངོན་ 59
བ་ གང་ ཞེ་ ན །_ གང་ 60
བ་ གང་ ཞེ་ ན །_ འདི་ 220
བ་ གང་ ཞེ་ ན །_ དགེ་ 66
བ་ གང་ ལགས་ པ་ དང་ །_ 51
བ་ ཆེན་ པོ་ དང་ །_ བཏང་ 80
བ་ ཆེན་ པོ་ མནར་ མེད་ པར་ 46
བ་ ཆེན་ པོས་ ཁྱབ་ པར་ གྱུར་ 59
བ་ ཆེན་ པོས་ ཁྱབ་ པར་ བྱས་ 41
བ་ ནི །_ སངས་ རྒྱས་ བཅོམ་ 107
བ་ ནི །_ ཚེ་ དང་ ལྡན་ 141
བ་ ནི །_ བྱང་ ཆུབ་ སེམས་ 109
བ་ ནི །_ གླེང་ གཞི་ མཉན་ 62
བ་ འདི་ དང་ །_ གླེང་ གཞི་ 129
བ་ འདི་ དང་ ཞེས་ བྱ་ བ་ 186
བ་ འདི་ ནི །_ བྱང་ ཆུབ་ 76
བ་ འདི་ ནི་ གཉིས་ སུ་ མ་ 124
བ་ འདི་ ནི་ བྱང་ ཆུབ་ སེམས་ 53
བ་ འདི་ ནི་ ལམ་ གྱི་ ཡན་ 49
བ་ འདི་ ནི་ གློ་ བུར་ དུ་ 42
བ་ འདི་ ནི་ མྱིང་ ཙམ་ དུ་ 109
བ་ འདི་ ནི་ མྱིང་ ཙམ་ མོ 53
བ་ ཡིན་ པའི་ ཕྱིར་ རོ །_། 62
བ་ ཡིན་ ཏེ །_ དེ་ ལྟར་ 46
བ་ ཡིན་ ཏེ །_ དེ་ ཅིའི་ 112
བ་ ཡིན་ ནོ །_། འདི་ ལྟ་ 44
བ་ ཡིན་ ནོ །_། དགེ་ སློང་ 54
བ་ ཡིན་ ནོ །_། རབ་ འབྱོར་ 255
བ་ ཡིན་ ནོ །_། དེ་ ལ་ 75
བ་ ཡིན་ ནོ །_། དེ་ བཞིན་ 57
བ་ ཡིན་ ནོ །_། དེ་ ནས་ 118
བ་ ཡིན་ ནོ །_། དེ་ ཅིའི་ 58
བ་ ཡིན་ ནོ །_། ཇི་ ལྟར་ 55
བ་ ཡིན་ ནོ །_། གཞན་ ཡང་ 78
བ་ ཡིན་ ནོ །_། ཤ་ ར་ 71
བ་ ཡིན་ ནོ །_། རིགས་ ཀྱི་ 45
བ་ ཡིན་ ནོ །_། ཤཱ་ རིའི་ 48
བ་ ཡིན་ པར་ རིག་ པར་ བྱའོ 45
བ་ ཡིན་ གྱིས །_ ཚེ་ དང་ 59
བ་ ཡིན་ ཞེ་ ན །_ རབ་ 81
བ་ ནི་ འདི་ ལྟ་ སྟེ །_ 278
བ་ ནི་ དེ་ བཞིན་ གཤེགས་ པའི་ 70
བ་ ནི་ དེ་ བཞིན་ གཤེགས་ པ་ 104
བ་ ནི་ དེ་ བཞིན་ གཤེགས་ པའོ 109
བ་ ནི་ མ་ ཡིན་ ནོ །_། 100
བ་ ནི་ མ་ བཅིངས་ མ་ གྲོལ་ 134
བ་ ནི་ བྱང་ ཆུབ་ སེམས་ དཔའ་ 336
བ་ ནི་ བྱང་ ཆུབ་ སེམས་ དཔའི་ 84
བ་ ནི་ བཅུ་ གཉིས་ སྡེ་ དག་ 45
བ་ ནི་ སེམས་ ཅན་ ཐམས་ ཅད་ 48
བ་ ནི་ སེམས་ ཅན་ དམྱལ་ བ་ 99
བ་ ནི་ གོང་ མ་ བཞིན་ ནོ 195
བ་ ནི་ སྦོམ་ དགའ་ མོའོ །_། 133
བ་ རྒྱལ་ བའི་ ཡུམ །_། སྲས་ 212
བ་ རྣམས་ དང་ །_ དགྲ་ བཅོམ་ 48
བ་ རྣམས་ དང་ །_ ཟས་ སུ་ 174
བ་ རྣམས་ དང་ །_ རྫུ་ འཕྲུལ་ 173
བ་ རྣམས་ ལ་ ཕྱག་ འཚལ་ ལོ 40
བ་ རྣམས་ ཀྱི་ ནང་ དུ་ སྐྱེ་ 61
བ་ རྣམས་ སུ་ སྐྱེ་ བར་ འགྱུར་ 89
བ་ རྣམས་ ནི་ རྣམ་ པར་ སྨིན་ 44
བ་ རྣམས་ མ་ བསྐྱེད་ པ་ ལས་ 41
བ་ རྣམས་ ལ །_ དེ་ བཞིན་ 45
བ་ རྣམས་ འབའ་ ཞིག་ ལ་ གཏད་ 44
བ་ རྣམས་ བསྐྱེད་ ཟིན་ པ་ ལས་ 41
བ་ ལང་ དང་ །_ མ་ ཧེ་ 80
བ་ ལང་ སྐྱོང་ གི་ མ་ ཞི་ 65
བ་ རྣམ་ པར་ དག་ པ་ དང་ 669
བ་ རྣམ་ པར་ དག་ པ་ གང་ 255
བ་ རྣམ་ པར་ དག་ པ་ འདི་ 174
བ་ རྣམ་ པར་ དག་ པ་ སྟེ 121
བ་ རྣམ་ པར་ དག་ པ །_ 655
བ་ རྣམ་ པར་ དག་ པས །_ 577
བ་ རྣམ་ པར་ དག་ གོ །_། 63
བ་ རྣམ་ པར་ འབྱེད་ པ །_ 111
བ་ འཁོར་ དེ་ ཉིད་ དུ་ འདུས་ 40
བ་ འཁོར་ གྱིས་ ཞུས་ པ །_ 126
བ་ བྱེད་ པའི་ ཆོས་ གཉིས་ ཏེ 69
བ་ བྱེད་ པ་ ཡིན་ ནོ །_། 41
བ་ བྱེད་ པ་ ཞེས་ བྱ་ བའི་ 44
བ་ བྱེད་ པར་ འགྱུར་ རོ །_། 68
བ་ འདས་ པའི་ དུས་ འཁོར་ བ་ 101
བ་ འདས་ པའི་ དུས་ ན །_ 136
བ་ འདས་ པའི་ དུས་ ན་ བསྐལ་ 116
བ་ ན །_ དེ་ བཞིན་ གཤེགས་ 64
བ་ བྱུང་ བ་ ཟླ་ བ་ ཕྱེད་ 67
བ་ ཉིད་ དུ་ གྱུར་ ཀྱང་ རུང་ 57
བ་ ཉིད་ གང་ ཡིན་ པ་ དེ་ 131
བ་ ཉིད་ ཀྱང་ ཡང་ དག་ པར་ 121
