༄༅ རྒྱ་ གར་ སྐད་ དུ །_ ཨཱརྱ་ 185
བ་ དང་ །_ ཡང་ དག་ པའི་ རྩོལ་ 41
བ་ དང་ །_ ཡང་ དག་ པར་ བསྟན་ 78
བ་ དང་ །_ ན་ བ་ དང་ །_ 339
བ་ དང་ །_ རབ་ ཏུ་ ཚ་ བ་ 51
བ་ དང་ །_ མི་ དགེ་ བ་ དང་ 55
བ་ དང་ །_ མི་ དགེ་ བ་ དེ་ 43
བ་ དང་ །_ མི་ རྟག་ ཅེས་ བྱ་ 57
བ་ དང་ །_ མི་ དབེན་ ཞེས་ བྱ་ 50
བ་ དང་ །_ མི་ འམ་ ཅིའི་ བུ་ 49
བ་ དང་ །_ མི་ གདུང་ བ་ དང་ 60
བ་ དང་ །_ ཤིན་ ཏུ་ མཐོང་ བ་ 42
བ་ དང་ །_ དེ་ དག་ ལ་ སོགས་ 40
བ་ དང་ །_ དེ་ བཞིན་ གཤེགས་ པའི་ 204
བ་ དང་ །_ དེ་ བཞིན་ གཤེགས་ པ་ 248
བ་ དང་ །_ དེ་ ལྟ་ ལགས་ སོ་ 51
བ་ དང་ །_ ཡོངས་ སུ་ མྱ་ ངན་ 66
བ་ དང་ །_ ཡོངས་ སུ་ ཤེས་ པར་ 112
བ་ དང་ །_ ཡོངས་ སུ་ བསྐྱང་ བ་ 74
བ་ དང་ །_ ཡོངས་ སུ་ བསྐྱབ་ པ་ 43
བ་ དང་ །_ བདག་ དང་ །_ ཡོངས་ 105
བ་ དང་ །_ བདག་ མེད་ པ་ དང་ 78
བ་ དང་ །_ བདག་ མེད་ ཅེས་ བྱ་ 84
བ་ དང་ །_ བདག་ མྱེད་ ཅེས་ བྱ་ 236
བ་ དང་ །_ འདོད་ ཆགས་ དང་ བྲལ་ 46
བ་ དང་ །_ འབྲས་ བུ་ ཆེ་ བ་ 43
བ་ དང་ །_ ཕྱིར་ མི་ འོང་ བ་ 153
བ་ དང་ །_ ཐོས་ པ་ དང་ །_ 69
བ་ དང་ །_ འཛིན་ པ་ དང་ །_ 67
བ་ དང་ །_ བདེ་ བ་ དང་ །_ 44
བ་ དང་ །_ བདེ་ བ་ ཅན་ བསམ་ 44
བ་ དང་ །_ བདེ་ ལེགས་ སུ་ འགྱུར་ 61
བ་ དང་ །_ མ་ ཞི་ ཞེས་ བྱ་ 199
བ་ དང་ །_ དགྲ་ བཅོམ་ པ་ དང་ 78
བ་ དང་ །_ བཅོམ་ ལྡན་ འདས་ ཀྱིས་ 138
བ་ དང་ །_ བཅོམ་ ལྡན་ འདས་ ག་ 103
བ་ དང་ །_ སྐྱེ་ བ་ དང་ །_ 58
བ་ དང་ །_ སྐྱེ་ བོ་ ཕལ་ པོ་ 48
བ་ དང་ །_ ཤེས་ རབ་ ཀྱི་ ཕ་ 46
བ་ དང་ །_ ཞི་ བ་ དང་ །_ 51
བ་ དང་ །_ ཞི་ བ་ དང་ བདེ་ 58
བ་ དང་ །_ ཞི་ ཞེས་ བྱ་ བ་ 144
བ་ དང་ །_ ཇི་ ལྟར་ ནན་ ཏན་ 102
བ་ དང་ །_ རྒ་ བ་ དང་ །_ 322
བ་ དང་ །_ འཆི་ བ་ དང་ །_ 270
བ་ དང་ །_ མངོན་ པར་ འདུ་ བྱ་ 124
བ་ དང་ །_ མངོན་ པར་ རྟོགས་ པ་ 56
བ་ དང་ །_ བྱང་ ཆུབ་ སེམས་ དཔའ་ 423
བ་ དང་ །_ བྱང་ ཆུབ་ སེམས་ དཔའི་ 272
བ་ དང་ །_ ཉན་ ཐོས་ དང་ །_ 53
བ་ དང་ །_ དྲང་ སྲོང་ ཆེན་ པོ་ 62
བ་ དང་ །_ ཁ་ ན་ མ་ ཐོ་ 43
བ་ དང་ །_ ཁ་ ཅིག་ གིས་ ནི་ 43
བ་ དང་ །_ ཁ་ ཏོན་ དུ་ བྱ་ 43
བ་ དང་ །_ སེམས་ ཅན་ ཐམས་ ཅད་ 383
བ་ དང་ །_ སེམས་ ཅན་ ཡོངས་ སུ་ 56
བ་ དང་ །_ ལྟུང་ བ་ དང་ །_ 41
བ་ དང་ །_ ལན་ ཅིག་ ཕྱིར་ འོང་ 41
བ་ དང་ །_ དུད་ འགྲོ་ དང་ །_ 197
བ་ དང་ །_ དུད་ འགྲོའི་ སྐྱེ་ གནས་ 172
བ་ དང་ །_ སྐྱེས་ བུ་ དང་ །_ 55
བ་ དང་ །_ འདུག་ པ་ དང་ །_ 62
བ་ དང་ །_ བླ་ ན་ མེད་ པ་ 52
བ་ དང་ །_ བསྙེན་ བཀུར་ བྱ་ བ་ 59
བ་ དང་ །_ བསྙེན་ བཀུར་ བྱ་ བའི་ 68
བ་ དང་ །_ བསྙེན་ བཀུར་ བགྱི་ བ་ 45
བ་ དང་ །_ བཀུར་ སྟིར་ བྱ་ བ་ 78
བ་ དང་ །_ ལུས་ ཀྱི་ འདུས་ ཏེ་ 103
བ་ དང་ །_ ཆུང་ དགེ་ དང་ །_ 48
བ་ དང་ །_ ཆུང་ ཆེ་ དང་ །_ 42
བ་ དང་ །_ ཆུང་ སྣང་ དང་ །_ 44
བ་ དང་ །_ ལོ་ ལེགས་ པ་ དང་ 87
བ་ དང་ །_ དགའ་ བ་ དང་ །_ 57
བ་ དང་ །_ གཅིག་ ནས་ གཅིག་ ཏུ་ 68
བ་ དང་ །_ གསལ་ བ་ དང་ །_ 92
བ་ དང་ །_ མགུ་ བ་ དང་ །_ 62
བ་ དང་ །_ ཉི་ མ་ དང་ །_ 40
བ་ དང་ །_ དབེན་ ཞེས་ བྱ་ བར་ 122
བ་ དང་ །_ ཡིད་ ཀྱི་ འདུས་ ཏེ་ 100
བ་ དང་ །_ ཡིད་ མི་ བདེ་ བ་ 348
བ་ དང་ །_ ཡིད་ བདེ་ བ་ སྐྱེས་ 95
བ་ དང་ །_ ཡིད་ མྱི་ བདེ་ བ་ 64
བ་ དང་ །_ མཚན་ མ་ མེད་ ཅེས་ 76
བ་ དང་ །_ མཚན་ མ་ མྱེད་ ཅེས་ 245
བ་ དང་ །_ ཆད་ པ་ སྤང་ བ་ 54
བ་ དང་ །_ སྣ་ དང་ །_ ལྕེ་ 358
བ་ དང་ །_ བཅའ་ བ་ དང་ །_ 69
བ་ དང་ །_ འདུ་ ཤེས་ དང་ །_ 1434
བ་ དང་ །_ ཕ་ རོལ་ ཏུ་ ཕྱིན་ 84
བ་ དང་ །_ ཚ་ བ་ དང་ །_ 91
བ་ དང་ །_ དྲི་ ཟའི་ བུ་ མོ་ 52
བ་ དང་ །_ མྱོས་ པ་ དང་ །_ 44
བ་ དང་ །_ བཏུང་ བ་ དང་ །_ 133
བ་ དང་ །_ མུ་ སྟེགས་ ཅན་ དང་ 54
བ་ དང་ །_ ཕུ་ དུད་ དུ་ བྱ་ 56
བ་ དང་ །_ སྐྱོབ་ པ་ དང་ །_ 44
བ་ དང་ །_ ལྷ་ དང་ མི་ རྣམས་ 53
བ་ དང་ །_ ལུང་ འབོག་ པ་ དང་ 93
བ་ དང་ །_ སྟོང་ པ་ དང་ །_ 143
བ་ དང་ །_ སྟོང་ ཞེས་ བྱ་ བ་ 139
བ་ དང་ །_ སྤོས་ དང་ །_ བྱུག་ 153
བ་ དང་ །_ སྣའི་ འདུས་ ཏེ་ རེག་ 111
བ་ དང་ །_ ཀློག་ པ་ དང་ །_ 359
བ་ དང་ །_ ཀློག་ ཅིང་ ཀུན་ ཆུབ་ 52
བ་ དང་ །_ རྗེད་ པར་ བྱ་ བ་ 41
བ་ དང་ །_ དུག་ གཞིལ་ བ་ དང་ 40
བ་ དང་ །_ གླེན་ པ་ དང་ །_ 78
བ་ དང་ །_ འགོག་ པ་ དང་ །_ 134
བ་ དང་ །_ གྱ་ ནོམ་ སྣང་ བ་ 60
བ་ དང་ །_ བྱུག་ པ་ དང་ །_ 209
བ་ དང་ །_ གསེག་ མ་ དང་ །_ 42
བ་ དང་ །_ མན་ དཱ་ ར་ བ་ 78
བ་ དང་ །_ སུག་ པ་ རྐང་ པ་ 41
བ་ དང་ །_ བསྐྱབ་ པ་ དང་ །_ 152
བ་ དང་ །_ རྫུ་ འཕྲུལ་ གྱི་ རྐང་ 233
བ་ དང་ །_ འཁྲུག་ པ་ དང་ །_ 49
བ་ དང་ །_ འཁྲུག་ པ་ ལས་ ཡོངས་ 121
བ་ དང་ །_ སྨོན་ པ་ མེད་ ཅེས་ 77
བ་ དང་ །_ སྨོན་ པ་ མྱེད་ ཅེས་ 249
བ་ དང་ །_ ལྕེའི་ འདུས་ ཏེ་ རེག་ 107
བ་ དང་ །_ དཔེ་ དང་ །_ རྒྱུར་ 64
བ་ དང་ །_ འགྲིབ་ པར་ བྱ་ བའི་ 227
བ་ དང་ །_ བྱོལ་ སོང་ གི་ སྐྱེ་ 87
བ་ དང་ །_ སྲེད་ པ་ དང་ །_ 58
བ་ དང་ །_ མྱེད་ པར་ བྱ་ བའི་ 423
བ་ དང་ །_ མྱི་ སྡུག་ ཅེས་ བྱ་ 173
བ་ དང་ །_ མྱི་ རྟག་ ཅེས་ བྱ་ 156
བ་ དང་ །_ མྱི་ དབེན་ ཞེས་ བྱ་ 147
བ་ དང་ །_ མྱི་ སྟོང་ ཞེས་ བྱ་ 161
བ་ དང་ སྡུག་ བསྔལ་ ཞེས་ བྱ་ བར་ 96
བ་ དང་ གང་ ལ་ བརྩོན་ པར་ བྱ་ 98
བ་ དང་ ཡི་ དགས་ དང་ དུད་ འགྲོ་ 56
བ་ དང་ མྱ་ ངན་ ལས་ འདས་ པ་ 47
བ་ དང་ བཅས་ པ་ དང་ །_ ཁ་ 49
བ་ དང་ མི་ དགེ་ བ་ བྱས་ ཤིང་ 99
བ་ དང་ བདག་ གིར་ བགྱི་ བ་ ལ་ 112
བ་ དང་ བདེ་ བ་ ཅན་ བསམ་ གཏན་ 64
བ་ དང་ བདེ་ ལེགས་ སུ་ འགྱུར་ བ་ 46
བ་ དང་ བདེ་ ལེགས་ སུ་ འགྱུར་ བར་ 51
བ་ དང་ མ་ ཞི་ བ་ ཞེས་ བྱ་ 52
བ་ དང་ མ་ ཞི་ ཞེས་ བྱ་ བར་ 50
བ་ དང་ ལྡན་ པའི་ བསོད་ ནམས་ བྱ་ 65
བ་ དང་ ལྡན་ པར་ འགྱུར་ རོ །_། 56
བ་ དང་ བསྙེན་ པར་ རྫོགས་ པ་ དགེ་ 72
བ་ དང་ རྗེས་ སུ་ སྦྱོར་ བ་ ལ་ 47
བ་ དང་ གཅིག་ ནས་ གཅིག _། སྨྱོན་ 67
བ་ དང་ ། སྣ་ དང་ ། ལྕེ་ 61
བ་ དང་ ། འདུ་ ཤེས་ དང་ ། 161
བ་ དང་ ཡིད་ བདེ་ བ་ སྐྱེས་ ནས་ 52
བ་ དང་ སྣ་ དང་ ལྕེ་ དང་ ལུས་ 71
བ་ དང་ བཟའ་ བ་ གཙང་ ཞིང་ བསོད་ 41
བ་ དང་ བཅའ་ བ་ གཙང་ མ་ བཟང་ 57
བ་ དང་ འདུ་ ཤེས་ དང་ འདུ་ བྱེད་ 478
བ་ དང་ ཀློག་ པ་ དང་ ཀུན་ ཆུབ་ 81
བ་ དང་ བཞིའི་ ལས་ ཀྱིས་ བསྒོ་ བ་ 78
བ་ དང་ འགྲིབ་ པ་ མ་ དམིགས་ ཡང་ 146
བ་ དང་ འགྲིབ་ པ་ མ་ དམྱིགས་ ཡང་ 248
བ་ དང་ བསྣན་ པ་ མ་ མཆིས་ པར་ 110
བ་ དང་ བསྣན་ པ་ མྱེད་ པར་ བསླབ་ 105
བ་ ཐམས་ ཅད་ ཡོངས་ སུ་ རྫོགས་ པར་ 70
བ་ ཐམས་ ཅད་ ཀྱང་ །_ རྣམ་ པ་ 336
བ་ ཐམས་ ཅད་ ཀྱང་ རྣམ་ པ་ ཐམས་ 490
བ་ ལ་ ཕྱག་ འཚལ་ ལོ །_། དེ་ 702
བ་ ལ་ བསླབ་ པའི་ གཞི་ འདི་ ལྟར་ 292
བ་ ལ་ གནས་ པའི་ ཡིད་ ཀྱིས །_ 103
བ་ ལ་ གནས་ པ །_ འགོག་ པ་ 75
བ་ ལ་ གནས་ ཀྱིས །_ གཞན་ དག་ 51
བ་ ལ་ འདི་ སྐད་ ཅེས་ སྨྲས་ སོ 46
བ་ ལ་ འདི་ སྐད་ ཅེས་ བཀའ་ སྩལ་ 52
བ་ ལ་ རབ་ ཏུ་ བྱུང་ བ་ དང་ 40
བ་ ལ་ རབ་ ཏུ་ འབྱུང་ བ་ དང་ 114
བ་ ལ་ མཁས་ པར་ རིག་ པར་ བྱའོ 273
བ་ ལ་ ལྷག་ པར་ བྱ་ བ་ བྱས་ 51
བ་ ལ་ ཉན་ ཐོས་ རྣམས་ ཀྱི་ བསླབ་ 242
བ་ ལ་ སྤྱོད་ པའི་ བྱང་ ཆུབ་ སེམས་ 53
བ་ ལ་ སྤྱོད་ ཀྱི །_ ཤེས་ རབ་ 92
བ་ ལ་ སྤྱོད་ དེ །_ དེ་ ནི་ 107
བ་ ལ་ སོགས་ པ་ ཡང་ སྔ་ མ་ 121
བ་ ལ་ སོགས་ པ་ སྔ་ མ་ བཞིན་ 263
བ་ ལ་ དགོད་ དོ་ ཞེས་ དབུགས་ འབྱིན་ 59
བ་ ལ་ ཤད་ ཀྱིས་ བྱང་ བར་ འདུ་ 53
བ་ དན་ དང་ །_ སིལ་ སྙན་ སྣ་ 84
བ་ དན་ དག་ གིས་ བསྟི་ སྟང་ དུ་ 47
བ་ འཇིག་ རྟེན་ དུ་ བྱུང་ སྟེ །_ 209
བ་ འཇིག་ རྟེན་ དུ་ བྱུང་ ངོ་ །_། 93
བ་ འཇིག་ རྟེན་ གྱི་ ཁམས་ སངས་ རྒྱས་ 58
བ་ མེད་ པ་ དང་ །_ མངོན་ པར་ 48
བ་ མེད་ པ་ དང་ །_ དོར་ བ་ 41
བ་ མེད་ པ་ དང་ །_ འགག་ པ་ 149
བ་ མེད་ པ་ ལ་ གནས་ མེད་ དོ 388
བ་ མེད་ པ་ གང་ ཡིན་ པ་ དེ་ 71
བ་ མེད་ པ་ ཞེས་ བྱ་ བའི་ ཏིང་ 82
བ་ མེད་ པ་ སྟོང་ པ་ ཉིད་ དང་ 129
བ་ མེད་ པར་ རྗེས་ སུ་ ལྟ་ བར་ 43
བ་ མེད་ ཅིང་ རྣམ་ པར་ རྟོག་ པ་ 170
བ་ མེད་ ཅེས་ བྱ་ བ་ དང་ །_ 41
བ་ མེད་ ཅེས་ བྱ་ བར་ དེ་ མི་ 79
བ་ མེད་ དོ །_། རྣམ་ པ་ ཐམས་ 40
བ་ མེད་ དོ །_། དེ་ ཅིའི་ ཕྱིར་ 87
བ་ མེད་ དོ །_། ལས་ དང་ པོ་ 71
བ་ བར་ མ་ དང་ འདྲ་ བ་ ཡང་ 81
བ་ བར་ མ་ ལྟུང་ བ་ སྔ་ མ་ 96
བ་ གང་ ཡིན་ པའི་ ཆོས་ དེ་ དག་ 43
བ་ གང་ ཡིན་ པ་ དེ་ ནི །_ 122
བ་ གང་ ཡིན་ པ་ དེ་ ནི་ ཚུལ་ 60
བ་ གང་ ཡིན་ པ་ དེ་ ནི་ བརྩོན་ 58
བ་ གང་ ཡིན་ པ་ དེ་ ནི་ ཤེས་ 63
བ་ གང་ ཡིན་ པ་ དེ་ ནི་ བཟོད་ 52
བ་ གང་ ཡིན་ པ་ དེ་ ནི་ སྦྱིན་ 57
བ་ གང་ ཡིན་ པ་ དེ་ ནི་ བསམ་ 56
བ་ གང་ ཡིན་ པ་ དེ་ དག་ ནི་ 109
བ་ གང་ ཡིན་ པ་ དེ་ དག་ ཏུ་ 60
བ་ གང་ དག་ ཡིན་ པ་ དེ་ དག་ 113
བ་ གང་ ཇི་ སྙེད་ པ་ དེ་ དག་ 42
བ་ གང་ ཇི་ སྙེད་ ཅིག་ མངོན་ པར་ 59
བ་ གང་ ཞེ་ ན །_ འདི་ ལྟ་ 192
བ་ གང་ ཞེ་ ན །_ དགེ་ སློང་ 53
བ་ ཆེན་ པོ་ དང་ །_ བཏང་ སྙོམས་ 80
བ་ ནི །_ སངས་ རྒྱས་ བཅོམ་ ལྡན་ 107
བ་ ནི །_ ཚེ་ དང་ ལྡན་ པ་ 141
བ་ ནི །_ བྱང་ ཆུབ་ སེམས་ དཔའ་ 107
བ་ ནི །_ གླེང་ གཞི་ མཉན་ དུ་ 62
བ་ འདི་ དང་ །_ གླེང་ གཞི་ འདི་ 127
བ་ འདི་ དང་ ཞེས་ བྱ་ བ་ ནས 144
བ་ འདི་ དང་ ཞེས་ བྱ་ བ་ ནས་ 42
བ་ འདི་ ནི །_ བྱང་ ཆུབ་ སེམས་ 76
བ་ འདི་ ནི་ གཉིས་ སུ་ མ་ མཆིས་ 124
བ་ འདི་ ནི་ ལམ་ གྱི་ ཡན་ ལག་ 49
བ་ འདི་ ནི་ མྱིང་ ཙམ་ དུ་ ཟད་ 106
བ་ འདི་ ནི་ མྱིང་ ཙམ་ མོ །_། 52
བ་ ཡིན་ ཏེ །_ དེ་ ཅིའི་ ཕྱིར་ 112
བ་ ཡིན་ ནོ །_། དགེ་ སློང་ དག་ 40
བ་ ཡིན་ ནོ །_། རབ་ འབྱོར་ ཇི་ 43
བ་ ཡིན་ ནོ །_། རབ་ འབྱོར་ གལ་ 161
བ་ ཡིན་ ནོ །_། དེ་ བཞིན་ དུ་ 45
བ་ ཡིན་ ནོ །_། དེ་ ཅིའི་ ཕྱིར་ 58
བ་ ཡིན་ ནོ །_། ཤ་ ར་ དྭ་ 71
བ་ ཡིན་ ནོ །_། རིགས་ ཀྱི་ བུ་ 45
བ་ ཡིན་ པར་ རིག་ པར་ བྱའོ །_། 45
བ་ ཡིན་ གྱིས །_ ཚེ་ དང་ ལྡན་ 59
བ་ ཡིན་ ཞེ་ ན །_ རབ་ འབྱོར་ 81
བ་ ནི་ དེ་ བཞིན་ གཤེགས་ པའོ །_། 109
བ་ ནི་ མ་ བཅིངས་ མ་ གྲོལ་ བ་ 115
བ་ ནི་ བྱང་ ཆུབ་ སེམས་ དཔའ་ སེམས་ 289
བ་ ནི་ བཅུ་ གཉིས་ སྡེ་ དག་ གོ 42
བ་ ནི་ སེམས་ ཅན་ དམྱལ་ བ་ དང་ 92
བ་ ནི་ གོང་ མ་ བཞིན་ ནོ །_། 195
བ་ རྒྱལ་ བའི་ ཡུམ །_། སྲས་ པོ་ 212
བ་ རྣམས་ དང་ །_ དགྲ་ བཅོམ་ པ་ 47
བ་ རྣམས་ དང་ །_ རྫུ་ འཕྲུལ་ གྱི་ 172
བ་ རྣམས་ ལ་ ཕྱག་ འཚལ་ ལོ །_། 40
བ་ རྣམས་ ཀྱི་ ནང་ དུ་ སྐྱེ་ བར་ 61
བ་ རྣམས་ སུ་ སྐྱེ་ བར་ འགྱུར་ རོ 49
བ་ རྣམས་ ནི་ རྣམ་ པར་ སྨིན་ པ་ 44
བ་ རྣམས་ མ་ བསྐྱེད་ པ་ ལས་ བསྐྱེད་ 41
བ་ རྣམས་ ལ །_ དེ་ བཞིན་ གཤེགས་ 45
བ་ རྣམས་ འབའ་ ཞིག་ ལ་ གཏད་ པར་ 44
བ་ རྣམས་ བསྐྱེད་ ཟིན་ པ་ ལས་ ཡོངས་ 41
བ་ ལང་ དང་ །_ མ་ ཧེ་ དང་ 43
བ་ ལང་ སྐྱོང་ གི་ མ་ ཞི་ བ་ 60
བ་ རྣམ་ པར་ དག་ པ་ དང་ །_ 661
བ་ རྣམ་ པར་ དག་ པ་ གང་ ཡིན་ 255
བ་ རྣམ་ པར་ དག་ པ་ འདི་ ལ་ 172
བ་ རྣམ་ པར་ དག་ པ་ སྟེ །_ 121
བ་ རྣམ་ པར་ དག་ པ །_ ལུས་ 74
བ་ རྣམ་ པར་ དག་ པ །_ ཡིད་ 77
བ་ རྣམ་ པར་ དག་ པ །_ རྣ་ 147
བ་ རྣམ་ པར་ དག་ པ །_ སྣའི་ 75
བ་ རྣམ་ པར་ དག་ པ །_ ཚོར་ 92
བ་ རྣམ་ པར་ དག་ པ །_ ལྕེའི་ 75
བ་ རྣམ་ པར་ དག་ པ །_ མྱིག་ 69
བ་ རྣམ་ པར་ དག་ པས །_ རྣམ་ 444
བ་ རྣམ་ པར་ འབྱེད་ པ །_ བམ་ 111
བ་ འཁོར་ གྱིས་ ཞུས་ པ །_ བཙུན་ 122
བ་ བྱེད་ པའི་ ཆོས་ གཉིས་ ཏེ །_ 69
བ་ བྱེད་ པ་ ཞེས་ བྱ་ བའི་ ཏིང་ 42
བ་ འདས་ པའི་ དུས་ འཁོར་ བ་ དཔག་ 100
བ་ འདས་ པའི་ དུས་ ན །_ བསྐལ་ 65
བ་ འདས་ པའི་ དུས་ ན་ བསྐལ་ པ་ 115
བ་ ན །_ དེ་ བཞིན་ གཤེགས་ པ་ 62
བ་ བྱུང་ བ་ ཟླ་ བ་ ཕྱེད་ བཅབས་ 67
བ་ ཉིད་ དུ་ གྱུར་ ཀྱང་ རུང་ མ་ 57
བ་ ཉིད་ ཀྱང་ ཡང་ དག་ པར་ རྗེས་ 121
བ་ ཞེས་ བྱ་ བ་ བཞུགས་ སོ །_། 44
བ་ ཞེས་ བྱ་ བ་ ཡོད་ དེ །_ 159
བ་ ཞེས་ བྱ་ བའི་ ཆོས་ སྣང་ བའི་ 90
བ་ ཞེས་ བྱ་ བའི་ ཏིང་ ངེ་ འཛིན་ 779
བ་ ཞེས་ བྱ་ བར་ རྣམ་ པར་ རྟོག་ 83
བ་ ཞེས་ བྱ་ བར་ མི་ སྦྱོར་ རོ 92
བ་ ཞེས་ བྱ་ བར་ མྱི་ སྤྲོ་ བ་ 48
བ་ ཞེས་ བགྱིའམ །_ ཨུ་ པཱ་ ལི་ 140
བ་ ཡང་ དག་ པ་ ཇི་ ལྟ་ བ་ 68
བ་ ཡང་ དག་ པར་ འཛིན་ དུ་ འཇུག་ 40
བ་ ཡང་ དག་ པར་ རྗེས་ སུ་ མི་ 71
བ་ ཡང་ དག་ པར་ རྗེས་ སུ་ མ་ 236
བ་ ཡང་ དག་ པར་ རྗེས་ སུ་ མྱི་ 123
བ་ ཡང་ དག་ བྱང་ ཆུབ་ ཀྱི་ ཡན་ 53
བ་ ཡང་ དེ་ དང་ འདྲ་ སྟེ །_ 58
བ་ ཡང་ ཐོས་ པར་ འགྱུར་ རོ །_། 48
བ་ ཡང་ མ་ ཡིན་ པའི་ ཚོར་ བ་ 47
བ་ ཡང་ མ་ ཡིན་ ཏེ །_ དེ་ 122
བ་ ཡང་ མ་ ཡིན་ ནོ །_། དེ་ 48
བ་ ཡང་ མ་ ཡིན་ ནོ །_། ཀཽ་ 104
བ་ ཡང་ མ་ ཡིན །_ སྡུག་ བསྔལ་ 49
བ་ ཡང་ བཟླས་ ཏེ་ བྱུང་ བ་ བཅབས་ 45
བ་ ཡང་ མྱེད་ དོ །_། ཡོངས་ སུ་ 43
བ་ ཡང་ མྱི་ དམྱིགས་ འབྱུང་ བ་ ཡང་ 86
